2024-09-13T00:00:27.816+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-09-13T00:00:27.843+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
2024-09-13T00:00:35.413+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.1.105: accepted socket from [192.168.1.105:51601]
2024-09-13T00:00:35.414+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.1.105: (port 51564) op = 80
2024-09-13T00:00:35.414+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.1.105: name = "[Ljava.rmi.server.ObjID;", codebase = "", defaultLoader = jdk.internal.loader.ClassLoaders$PlatformClassLoader@2249cd7d
2024-09-13T00:00:35.414+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.1.105: name = "java.rmi.server.ObjID", codebase = "", defaultLoader = jdk.internal.loader.ClassLoaders$PlatformClassLoader@2249cd7d
2024-09-13T00:00:35.414+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.1.105: name = "java.rmi.server.UID", codebase = "", defaultLoader = jdk.internal.loader.ClassLoaders$PlatformClassLoader@2249cd7d
2024-09-13T00:00:35.415+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.1.105: name = "java.rmi.dgc.VMID", codebase = "", defaultLoader = jdk.internal.loader.ClassLoaders$PlatformClassLoader@2249cd7d
2024-09-13T00:00:35.415+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.1.105: name = "[B", codebase = "", defaultLoader = jdk.internal.loader.ClassLoaders$PlatformClassLoader@2249cd7d
2024-09-13T00:00:50.418+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.1.105: (port 51564) connection closed
2024-09-13T00:00:50.419+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.1.105: close connection, socket: Socket[addr=/192.168.1.105,port=51601,localport=51564]
2024-09-13T00:00:50.420+02:00 DEBUG 15916 --- [agri-drones] [RMI TCP Connection(3)-192.168.1.105] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.1.105: socket close: Socket[addr=/192.168.1.105,port=51601,localport=51564]
2024-09-13T00:00:57.861+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-09-13T00:00:57.864+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
2024-09-13T00:01:27.878+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-09-13T00:01:27.879+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
2024-09-13T00:01:57.893+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-09-13T00:01:57.894+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
2024-09-13T00:02:27.906+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-09-13T00:02:27.906+02:00 DEBUG 15916 --- [agri-drones] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
